ID,Title,Outlet,Year,Reference
EC1,Mortel Azur. Sens et néant chez S. Mallarmé. À propos d’un ouvrage récent,Les Lettres Romanes,1996,"Les Lettres Romanes, 1996, 50/1-2, p. 75-85"
EC2,Le thomisme entre système et histoire,Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/2, p. 144-158"
EC3,Esprit et médiation. Considérations sur le «système» de Blondel,Filosofia Oggi,1998,"Filosofia Oggi, 1998, no 1, p. 79-94"
EC4,La logique de l’amour. À propos de quelques volumes récemment traduits de H.U. von Balthasar,Revue théologique de Louvain,1998,"Revue théologique de Louvain, 1998, 29/2, p. 202-228"
EC5,La liberté comme don. A propos d’un ouvrage récent de M. Bieler,Laval philosophique et théologique,1998,"Laval philosophique et théologique, 1998, 54/2, p. 411-422"
EC6,Analogia libertatis. Notes conjointes sur deux ouvrages récemment parus de F. Marty et P. Gilbert,Revue philosophique de Louvain,1998,"Revue philosophique de Louvain, 1998, 96/1, p. 119-133"
EC7,"«L’esprit pontife». Quelques publications récentes touchant le problème philosophique de Dieu (Fabro, Brito, Mahé)",Revue philosophique de Louvain,2000,"Revue philosophique de Louvain, 2000, 98/1, p. 107-133"
EC8,"Une conspiration métaphysique : Thomas, Hegel et Boehme. A propos de trois ouvrages récents",Revue philosophique de Louvain,2002,"Revue philosophique de Louvain, 2002, 100/3, p. 585-607"
EC9,Une éthique radicale : Normes et contextes de M. Maesschalck,Science et Esprit,2003,"Science et Esprit, 2003 (décembre)"
EC10,À propos d’«Ésotérisme et christianisme». Quelques questions au P. Rousse-Lacordaire,Nouvelle Revue Théologique,2008,"Nouvelle Revue Théologique, 2008, 130/3, p. 636-644"
EC11,«Thomas d’Aquin est le penseur de l’être comme amour». À propos de deux livres récents,Revue philosophique de Louvain,2008,"Revue philosophique de Louvain, 2008, 106/2, p. 363-371 et 106/3, p. 569-579"
EC12,W. Pannenberg : Théologique 2. A propos d’un livre récent,Nouvelle Revue Théologique,2012,"Nouvelle Revue Théologique, 2012, 134/4, p. 651-654"
EC13,Un événement : le nouveau livre de Jean Greisch sur la vérité,Revue des Sciences religieuses,2018,"Revue des Sciences religieuses, 2018, 92/3, p. 415-422"
EC14,Un grand thomisme de «l’être comme don» : la métaphysique de Ferdinand Ulrich (2023),Nouvelle Revue Théologique,2024,"Nouvelle Revue Théologique, 2024, 146/2, p. 293-304"
