ID,Title,Outlet,Year,Reference
R1,"Erich Przywara, Analogia entis. Traduit de l’allemand par Philibert Secretan",Revue philosophique de Louvain,1993,"Revue philosophique de Louvain, 1993, 91/92, p. 674-679"
R2,"Karl Lehman et Walter Kasper, Hans Urs von Balthasar. Gestalt und Werk",Revue philosophique de Louvain,1993,"Revue philosophique de Louvain, 1993, 91/92, p. 686-688"
R3,"Pascal Ide, Introduction à la métaphysique",Revue philosophique de Louvain,1994,"Revue philosophique de Louvain, 1994, 92/2-3, p. 370-373"
R4,"Xavier Tilliette, Le Christ des philosophes",Revue philosophique de Louvain,1994,"Revue philosophique de Louvain, 1994, 92/4, p. 633-639"
R5,"Jonas Cohn, Histoire de l’infini",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, no 2, p. 201-207"
R6,"François-Xavier Puttalaz, Le sens de la réflexion chez Thomas d’Aquin",Revue philosophique de Louvain,1995,"Revue philosophique de Louvain, 1995, 93/4, p. 633-635"
R7,"F.W.J. Schelling, Le monothéisme",Revue philosophique de Louvain,1995,"Revue philosophique de Louvain, 1995, 93/4, p. 650-651"
R8,"Jean-Luc Barré, Jacques et Raïssa Maritain. Les mendiants du ciel",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/1, p. 178-179"
R9,"Pascal Ide, Être et mystère. La philosophie de Hans Urs von Balthasar",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/1, p. 179-181"
R10,"Denise Leduc-Fayette, Fénelon et l’amour de Dieu",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/2, p. 361-363"
R11,"Éric Gaziaux, Morale de la foi et morale autonome",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/2, p. 369-371"
R12,"Livio Melina, La morale entre crise et renouveau",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/3, p. 546-549"
R13,"Dominique Dubarle, L’ontologie de Thomas d’Aquin",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/4, p. 687-691"
R14,"Rudi A. te Velde, Participation and substantiality in Thomas Aquinas",Revue philosophique de Louvain,1996,"Revue philosophique de Louvain, 1996, 94/4, p. 691-692"
R15,"Florent Gaboriau, Le projet de la Somme. Une idée pour notre temps",Revue philosophique de Louvain,1997,"Revue philosophique de Louvain, 1997, 95/1, p. 163-164"
